date,time,code,open,high,low,close,volume,amount,adjustflag
2012-07-02,20120702103000000,sh.600000,3.7849170500,3.7849170500,3.7431204200,3.7431204200,14934500,120855830.0000,2
2012-07-02,20120702113000000,sh.600000,3.7477644900,3.7616967000,3.7384763500,3.7477644900,9126100,73681544.0000,2
2012-07-02,20120702140000000,sh.600000,3.7570526300,3.7570526300,3.7431204200,3.7524085600,8488300,68568553.0000,2
2012-07-02,20120702150000000,sh.600000,3.7524085600,3.7709848400,3.7384763500,3.7570526300,11140700,89927327.0000,2
2012-07-03,20120703103000000,sh.600000,3.7570526300,3.7756289100,3.7477644900,3.7709848400,10232800,82775195.0000,2
2012-07-03,20120703113000000,sh.600000,3.7709848400,3.7849170500,3.7570526300,3.7756289100,15562200,126355133.0000,2
2012-07-03,20120703140000000,sh.600000,3.7756289100,3.7756289100,3.7616967000,3.7663407700,6293700,51104484.0000,2
2012-07-03,20120703150000000,sh.600000,3.7663407700,3.7709848400,3.7524085600,3.7570526300,7989900,64661145.0000,2
2012-07-04,20120704103000000,sh.600000,3.7616967000,3.7756289100,3.7570526300,3.7570526300,10078100,81672106.0000,2
2012-07-04,20120704113000000,sh.600000,3.7570526300,3.7942051900,3.7524085600,3.7802729800,19159300,155851768.0000,2
2012-07-04,20120704140000000,sh.600000,3.7802729800,3.7849170500,3.7709848400,3.7756289100,5270500,42860547.0000,2
2012-07-04,20120704150000000,sh.600000,3.7756289100,3.7802729800,3.7663407700,3.7709848400,5042400,40991508.0000,2
2012-07-05,20120705103000000,sh.600000,3.7663407700,3.7709848400,3.7431204200,3.7477644900,10803600,87350440.0000,2
2012-07-05,20120705113000000,sh.600000,3.7477644900,3.7524085600,3.7384763500,3.7524085600,8608900,69410697.0000,2
2012-07-05,20120705140000000,sh.600000,3.7477644900,3.7524085600,3.7384763500,3.7477644900,6895000,55592581.0000,2
2012-07-05,20120705150000000,sh.600000,3.7477644900,3.7616967000,3.7431204200,3.7477644900,7326600,59201359.0000,2
2012-07-06,20120706103000000,sh.600000,3.6781034400,3.6920356500,3.6641712300,3.6781034400,35776100,283187389.0000,2
2012-07-06,20120706113000000,sh.600000,3.6781034400,3.6827475100,3.6641712300,3.6688153000,15918700,125891849.0000,2
2012-07-06,20120706140000000,sh.600000,3.6688153000,3.6873915800,3.6641712300,3.6734593700,16338700,129227151.0000,2
2012-07-06,20120706150000000,sh.600000,3.6734593700,3.7013237900,3.6734593700,3.7013237900,47761000,378705062.0000,2
2012-07-09,20120709103000000,sh.600000,3.6827475100,3.6873915800,3.6409508800,3.6548830900,34271600,270607121.0000,2
2012-07-09,20120709113000000,sh.600000,3.6548830900,3.6595271600,3.5991542500,3.6037983200,21333000,166591900.0000,2
2012-07-09,20120709140000000,sh.600000,3.6037983200,3.6084423900,3.5805779700,3.5898661100,21377500,165456894.0000,2
2012-07-09,20120709150000000,sh.600000,3.5852220400,3.5898661100,3.5527135500,3.5620016900,29551000,227148176.0000,2
2012-07-10,20120710103000000,sh.600000,3.5620016900,3.6037983200,3.5620016900,3.5759339000,20632900,159019968.0000,2
2012-07-10,20120710113000000,sh.600000,3.5805779700,3.5852220400,3.5620016900,3.5759339000,11419600,87954201.0000,2
2012-07-10,20120710140000000,sh.600000,3.5759339000,3.5898661100,3.5712898300,3.5898661100,5906400,45547327.0000,2
2012-07-10,20120710150000000,sh.600000,3.5898661100,3.5945101800,3.5759339000,3.5759339000,7128200,55019188.0000,2
2012-07-11,20120711103000000,sh.600000,3.5712898300,3.5945101800,3.5712898300,3.5852220400,8266400,63768076.0000,2
2012-07-11,20120711113000000,sh.600000,3.5805779700,3.5898661100,3.5666457600,3.5712898300,6580300,50711419.0000,2
2012-07-11,20120711140000000,sh.600000,3.5712898300,3.5945101800,3.5620016900,3.5852220400,11058400,85170849.0000,2
2012-07-11,20120711150000000,sh.600000,3.5852220400,3.5852220400,3.5712898300,3.5805779700,6518200,50239375.0000,2
2012-07-12,20120712103000000,sh.600000,3.5805779700,3.5805779700,3.5248491300,3.5294932000,25705600,196075135.0000,2
2012-07-12,20120712113000000,sh.600000,3.5387813400,3.5434254100,3.5202050600,3.5387813400,19658300,149546882.0000,2
2012-07-12,20120712140000000,sh.600000,3.5434254100,3.5527135500,3.5294932000,3.5480694800,28037800,213751505.0000,2
2012-07-12,20120712150000000,sh.600000,3.5527135500,3.5805779700,3.5480694800,3.5620016900,27505600,211047109.0000,2
2012-07-13,20120713103000000,sh.600000,3.5573576200,3.6177305300,3.5480694800,3.5898661100,21348200,165016335.0000,2
2012-07-13,20120713113000000,sh.600000,3.5898661100,3.5991542500,3.5805779700,3.5805779700,6359700,49140856.0000,2
2012-07-13,20120713140000000,sh.600000,3.5805779700,3.6037983200,3.5805779700,3.5852220400,9206700,71256192.0000,2
2012-07-13,20120713150000000,sh.600000,3.5805779700,3.5945101800,3.5712898300,3.5898661100,8285400,63933057.0000,2
2012-07-16,20120716103000000,sh.600000,3.5991542500,3.5991542500,3.5666457600,3.5759339000,13205600,101904513.0000,2
2012-07-16,20120716113000000,sh.600000,3.5759339000,3.5805779700,3.5620016900,3.5666457600,7656200,58918401.0000,2
2012-07-16,20120716140000000,sh.600000,3.5666457600,3.5759339000,3.5620016900,3.5712898300,11845500,90988759.0000,2
2012-07-16,20120716150000000,sh.600000,3.5666457600,3.5712898300,3.5434254100,3.5434254100,13875400,106225539.0000,2
2012-07-17,20120717103000000,sh.600000,3.5527135500,3.5852220400,3.5434254100,3.5666457600,10505500,80721715.0000,2
2012-07-17,20120717113000000,sh.600000,3.5712898300,3.5852220400,3.5573576200,3.5759339000,7971300,61331617.0000,2
2012-07-17,20120717140000000,sh.600000,3.5759339000,3.5805779700,3.5573576200,3.5573576200,4903000,37675887.0000,2
2012-07-17,20120717150000000,sh.600000,3.5620016900,3.5759339000,3.5573576200,3.5712898300,6842100,52543155.0000,2
2012-07-18,20120718103000000,sh.600000,3.5712898300,3.5712898300,3.5341372700,3.5387813400,13366400,102158012.0000,2
2012-07-18,20120718113000000,sh.600000,3.5387813400,3.5527135500,3.5341372700,3.5434254100,9417500,71815025.0000,2
2012-07-18,20120718140000000,sh.600000,3.5434254100,3.5527135500,3.5294932000,3.5387813400,12095800,92204000.0000,2
2012-07-18,20120718150000000,sh.600000,3.5387813400,3.5666457600,3.5294932000,3.5620016900,12749100,97461241.0000,2
2012-07-19,20120719103000000,sh.600000,3.5527135500,3.5620016900,3.5341372700,3.5480694800,13946800,106531688.0000,2
2012-07-19,20120719113000000,sh.600000,3.5527135500,3.5898661100,3.5480694800,3.5805779700,20061300,154366483.0000,2
2012-07-19,20120719140000000,sh.600000,3.5805779700,3.5898661100,3.5759339000,3.5805779700,17436900,134517568.0000,2
2012-07-19,20120719150000000,sh.600000,3.5805779700,3.5898661100,3.5573576200,3.5712898300,25897500,199111999.0000,2
2012-07-20,20120720103000000,sh.600000,3.5620016900,3.5666457600,3.5434254100,3.5434254100,16276400,124418588.0000,2
2012-07-20,20120720113000000,sh.600000,3.5480694800,3.5480694800,3.5341372700,3.5387813400,14971300,114125259.0000,2
2012-07-20,20120720140000000,sh.600000,3.5341372700,3.5434254100,3.5341372700,3.5387813400,11072100,84341312.0000,2
2012-07-20,20120720150000000,sh.600000,3.5387813400,3.5434254100,3.5294932000,3.5341372700,13223100,100635881.0000,2
2012-07-23,20120723103000000,sh.600000,3.5155609900,3.5155609900,3.4458999400,3.4598321500,27502300,205635804.0000,2
2012-07-23,20120723113000000,sh.600000,3.4598321500,3.4644762200,3.4458999400,3.4551880800,12923800,96070280.0000,2
2012-07-23,20120723140000000,sh.600000,3.4551880800,3.4691202900,3.4458999400,3.4598321500,11772300,87605132.0000,2
2012-07-23,20120723150000000,sh.600000,3.4598321500,3.4644762200,3.4458999400,3.4598321500,12301000,91530321.0000,2
2012-07-24,20120724103000000,sh.600000,3.4505440100,3.4644762200,3.4412558700,3.4505440100,9226700,68623565.0000,2
2012-07-24,20120724113000000,sh.600000,3.4458999400,3.4598321500,3.4412558700,3.4458999400,8258600,61360981.0000,2
2012-07-24,20120724140000000,sh.600000,3.4505440100,3.4784084300,3.4412558700,3.4644762200,19300100,143973865.0000,2
2012-07-24,20120724150000000,sh.600000,3.4598321500,3.4691202900,3.4458999400,3.4644762200,11601500,86334694.0000,2
2012-07-25,20120725103000000,sh.600000,3.4505440100,3.4830525000,3.4458999400,3.4737643600,8165500,60937619.0000,2
2012-07-25,20120725113000000,sh.600000,3.4737643600,3.4784084300,3.4366118000,3.4412558700,19387700,144112386.0000,2
2012-07-25,20120725140000000,sh.600000,3.4412558700,3.4458999400,3.4319677300,3.4366118000,11058900,81844318.0000,2
2012-07-25,20120725150000000,sh.600000,3.4366118000,3.4412558700,3.4319677300,3.4412558700,8966300,66353167.0000,2
2012-07-26,20120726103000000,sh.600000,3.4366118000,3.4412558700,3.4226795900,3.4273236600,8347100,61722250.0000,2
2012-07-26,20120726113000000,sh.600000,3.4319677300,3.4551880800,3.4273236600,3.4412558700,7300000,54124443.0000,2
2012-07-26,20120726140000000,sh.600000,3.4412558700,3.4598321500,3.4366118000,3.4366118000,7572900,56235597.0000,2
